recall,precision,f1score,auc,accuracy,id,execution_time,shift,q,class_weight,penalty,C,max_iter,solver,tol,feature_to_drop,kline_size,n_limit,random_search
0.86,0.55,0.67,0.81,0.78,0,1.28,-1,0.33,0.51,l2,0.046415888336127774,130,sag,0.05,high,240,4,True
0.85,0.65,0.74,0.81,0.8,1,1.34,-1,0.39,0.64,l2,0.4641588833612777,110,liblinear,0.005,high,240,4,True
0.91,0.56,0.69,0.8,0.75,2,1.47,-1,0.37,0.32,l2,0.4641588833612777,90,liblinear,0.1,imbalance,240,4,True
0.78,0.62,0.69,0.8,0.81,3,17.51,-1,0.34,0.91,l2,0.4641588833612777,130,sag,0.01,maker_ratio,240,4,True
0.91,0.52,0.66,0.8,0.75,4,1.48,-1,0.34,0.3,l2,0.046415888336127774,120,sag,0.1,vwap,240,4,True
0.87,0.59,0.7,0.81,0.78,5,0.93,-1,0.36,0.51,l2,2.154434690031882,30,lbfgs,0.005,high,240,4,True
0.77,0.59,0.67,0.8,0.82,6,1.68,-1,0.32,0.89,l2,0.21544346900318834,70,sag,0.05,maker_ratio,240,4,True
0.9,0.5,0.64,0.8,0.76,7,1.38,-1,0.32,0.34,l2,1.0,60,liblinear,0.1,wilder_rsi,240,4,True
0.73,0.7,0.71,0.79,0.81,8,0.8,-1,0.38,0.93,l2,2.154434690031882,50,lbfgs,0.05,low,240,4,True
0.77,0.64,0.7,0.8,0.81,9,1.48,-1,0.35,0.93,l2,1.0,80,sag,0.1,wilder_rsi,240,4,True
0.87,0.44,0.59,0.81,0.77,10,1.29,-1,0.27,0.36,l2,2.154434690031882,50,liblinear,0.1,PPO,240,4,True
0.63,0.55,0.59,0.76,0.86,11,0.82,-1,0.25,0.8,l2,0.21544346900318834,80,lbfgs,0.05,vwap,240,4,True
0.85,0.46,0.59,0.8,0.77,12,0.61,-1,0.28,0.46,l2,0.09999999999999999,50,lbfgs,0.05,imbalance,240,4,True
0.78,0.59,0.67,0.8,0.81,13,1.07,-1,0.32,0.83,l2,0.01,70,lbfgs,0.01,maker_ratio,240,4,True
0.81,0.59,0.68,0.81,0.81,14,13.14,-1,0.33,0.74,l2,2.154434690031882,70,sag,0.005,low,240,4,True
0.8,0.63,0.71,0.8,0.8,15,0.61,-1,0.37,0.55,l2,0.09999999999999999,130,lbfgs,0.1,PPO,240,4,True
0.89,0.44,0.59,0.81,0.75,16,1.44,-1,0.28,0.3,l2,0.01,90,liblinear,0.01,volume,240,4,True
0.78,0.58,0.67,0.8,0.81,17,4.36,-1,0.32,0.82,l2,0.021544346900318832,110,sag,0.01,imbalance,240,4,True
0.91,0.55,0.69,0.8,0.76,18,1.07,-1,0.36,0.34,l2,0.4641588833612777,100,lbfgs,0.005,maker_ratio,240,4,True
0.7,0.53,0.61,0.79,0.84,19,1.06,-1,0.26,0.94,l2,0.09999999999999999,40,liblinear,0.1,maker_ratio,240,4,True
0.85,0.49,0.62,0.81,0.79,20,0.98,-1,0.29,0.5,l2,0.4641588833612777,80,sag,0.1,volume,240,4,True
0.89,0.49,0.63,0.8,0.76,21,1.04,-1,0.31,0.34,l2,4.641588833612777,140,liblinear,0.05,low,240,4,True
0.72,0.52,0.61,0.79,0.84,22,9.77,-1,0.26,0.88,l2,4.641588833612777,50,sag,0.01,low,240,4,True
0.77,0.46,0.57,0.79,0.81,23,21.65,-1,0.25,0.98,l2,4.641588833612777,110,sag,0.005,atr,240,4,True
0.8,0.7,0.75,0.81,0.81,24,1.44,-1,0.4,0.96,l2,0.09999999999999999,100,sag,0.1,imbalance,240,4,True
0.87,0.41,0.56,0.81,0.78,25,1.58,-1,0.25,0.34,l2,0.01,90,liblinear,0.01,volume,240,4,True
0.76,0.62,0.68,0.8,0.82,26,5.28,-1,0.33,0.98,l2,0.021544346900318832,110,sag,0.01,maker_ratio,240,4,True
0.8,0.56,0.66,0.8,0.8,27,13.55,-1,0.32,0.97,l2,0.09999999999999999,80,sag,0.01,atr,240,4,True
0.76,0.53,0.63,0.8,0.82,28,1.31,-1,0.28,0.79,l2,0.4641588833612777,100,liblinear,0.005,volume,240,4,True
0.85,0.6,0.7,0.81,0.79,29,1.04,-1,0.36,0.75,l2,0.09999999999999999,120,lbfgs,0.005,atr,240,4,True
0.77,0.56,0.64,0.8,0.81,30,0.92,-1,0.3,0.79,l2,0.21544346900318834,80,lbfgs,0.01,high,240,4,True
0.86,0.5,0.63,0.81,0.78,31,1.61,-1,0.3,0.45,l2,0.021544346900318832,120,liblinear,0.005,wilder_rsi,240,4,True
0.8,0.58,0.67,0.8,0.81,32,11.36,-1,0.32,0.77,l2,1.0,60,sag,0.005,imbalance,240,4,True
0.86,0.66,0.75,0.81,0.8,33,1.3,-1,0.4,0.59,l2,1.0,140,sag,0.05,maker_ratio,240,4,True
0.88,0.58,0.7,0.81,0.78,34,1.33,-1,0.36,0.43,l2,1.0,70,sag,0.05,low,240,4,True
0.78,0.69,0.73,0.8,0.81,35,0.65,-1,0.39,0.85,l2,0.01,120,lbfgs,0.05,low,240,4,True
0.88,0.46,0.61,0.81,0.76,36,0.72,-1,0.29,0.36,l2,1.0,140,lbfgs,0.01,high,240,4,True
0.85,0.61,0.71,0.81,0.79,37,26.41,-1,0.37,0.74,l2,4.641588833612777,140,sag,0.005,atr,240,4,True
0.63,0.61,0.62,0.76,0.84,38,0.62,-1,0.29,0.91,l2,0.046415888336127774,100,lbfgs,0.05,low,240,4,True
0.76,0.53,0.63,0.8,0.82,39,1.03,-1,0.28,0.79,l2,0.21544346900318834,120,liblinear,0.05,volume,240,4,True
0.81,0.68,0.74,0.81,0.81,40,1.71,-1,0.39,0.84,l2,0.046415888336127774,130,liblinear,0.005,imbalance,240,4,True
0.82,0.67,0.74,0.81,0.81,41,1.23,-1,0.39,0.79,l2,2.154434690031882,60,liblinear,0.05,imbalance,240,4,True
0.88,0.42,0.57,0.81,0.77,42,1.29,-1,0.26,0.3,l2,10.0,140,sag,0.05,PPO,240,4,True
0.85,0.45,0.59,0.81,0.78,43,15.64,-1,0.27,0.43,l2,1.0,80,sag,0.005,maker_ratio,240,4,True
0.91,0.51,0.65,0.79,0.74,44,0.67,-1,0.34,0.36,l2,0.21544346900318834,70,lbfgs,0.05,low,240,4,True
0.7,0.53,0.61,0.79,0.84,45,0.83,-1,0.26,0.96,l2,0.046415888336127774,130,lbfgs,0.005,PPO,240,4,True
0.75,0.58,0.66,0.79,0.82,46,1.1,-1,0.31,0.92,l2,0.21544346900318834,100,liblinear,0.1,wilder_rsi,240,4,True
0.84,0.44,0.58,0.8,0.78,47,0.7,-1,0.27,0.47,l2,2.154434690031882,120,lbfgs,0.05,vwap,240,4,True
0.86,0.63,0.73,0.8,0.78,48,0.53,-1,0.39,0.56,l2,0.021544346900318832,50,lbfgs,0.05,maker_ratio,240,4,True
0.82,0.59,0.69,0.81,0.8,49,1.17,-1,0.34,0.69,l2,0.046415888336127774,40,sag,0.1,high,240,4,True
0.86,0.5,0.63,0.81,0.78,50,1.77,-1,0.3,0.45,l2,0.01,70,sag,0.01,low,240,4,True
0.86,0.45,0.59,0.81,0.78,51,1.01,-1,0.27,0.38,l2,1.0,130,liblinear,0.1,close,240,4,True
0.81,0.7,0.75,0.81,0.81,52,1.46,-1,0.4,0.89,l2,0.01,130,sag,0.1,low,240,4,True
0.73,0.7,0.71,0.79,0.81,53,0.46,-1,0.38,0.91,l2,1.0,30,lbfgs,0.05,high,240,4,True
0.89,0.41,0.56,0.81,0.76,54,1.6,-1,0.26,0.3,l2,2.154434690031882,100,liblinear,0.005,wilder_rsi,240,4,True
0.84,0.64,0.73,0.8,0.79,55,0.56,-1,0.39,0.98,l2,0.021544346900318832,120,lbfgs,0.1,volume,240,4,True
0.85,0.64,0.73,0.81,0.8,56,1.32,-1,0.38,0.61,l2,0.4641588833612777,40,sag,0.1,maker_ratio,240,4,True
0.88,0.45,0.6,0.81,0.77,57,1.41,-1,0.28,0.34,l2,0.021544346900318832,110,liblinear,0.01,no_of_trades,240,4,True
0.71,0.51,0.6,0.79,0.84,58,1.3,-1,0.25,0.88,l2,0.21544346900318834,30,sag,0.01,close,240,4,True
0.78,0.47,0.59,0.81,0.82,59,1.37,-1,0.25,0.61,l2,10.0,70,liblinear,0.005,wilder_rsi,240,4,True
0.81,0.69,0.75,0.81,0.81,60,8.0,-1,0.4,0.84,l2,4.641588833612777,40,sag,0.01,wilder_rsi,240,4,True
0.87,0.58,0.69,0.79,0.76,61,0.6,-1,0.37,0.44,l2,10.0,40,lbfgs,0.1,volume,240,4,True
0.89,0.52,0.66,0.8,0.76,62,14.26,-1,0.33,0.36,l2,0.21544346900318834,90,sag,0.01,PPO,240,4,True
0.79,0.51,0.62,0.8,0.81,63,1.11,-1,0.28,0.64,l2,0.21544346900318834,50,lbfgs,0.01,PPO,240,4,True
0.8,0.44,0.57,0.8,0.8,64,0.61,-1,0.25,0.51,l2,1.0,100,lbfgs,0.05,close,240,4,True
0.82,0.64,0.72,0.81,0.8,65,1.26,-1,0.37,0.72,l2,0.21544346900318834,70,liblinear,0.1,close,240,4,True
0.91,0.36,0.51,0.8,0.72,66,1.15,-1,0.25,0.37,l2,4.641588833612777,70,sag,0.05,atr,240,4,True
0.74,0.51,0.6,0.8,0.83,67,1.63,-1,0.26,0.79,l2,10.0,140,liblinear,0.01,wilder_rsi,240,4,True
0.85,0.59,0.7,0.81,0.79,68,2.42,-1,0.35,0.57,l2,0.09999999999999999,100,sag,0.005,close,240,4,True
0.82,0.55,0.66,0.8,0.79,69,0.56,-1,0.32,0.97,l2,4.641588833612777,120,lbfgs,0.1,vwap,240,4,True
0.91,0.56,0.69,0.8,0.75,70,0.77,-1,0.37,0.36,l2,0.021544346900318832,100,lbfgs,0.01,low,240,4,True
0.81,0.64,0.71,0.8,0.8,71,0.66,-1,0.37,0.69,l2,0.046415888336127774,140,lbfgs,0.05,volume,240,4,True
0.91,0.51,0.66,0.8,0.74,72,1.15,-1,0.34,0.31,l2,0.4641588833612777,100,sag,0.05,PPO,240,4,True
0.69,0.53,0.6,0.78,0.85,73,17.07,-1,0.25,0.98,l2,0.4641588833612777,140,sag,0.01,volume,240,4,True
0.85,0.49,0.62,0.81,0.79,74,1.26,-1,0.29,0.46,l2,0.046415888336127774,70,lbfgs,0.005,volume,240,4,True
0.86,0.62,0.72,0.81,0.79,75,1.02,-1,0.37,0.56,l2,2.154434690031882,130,liblinear,0.05,low,240,4,True
0.88,0.64,0.74,0.81,0.78,76,18.15,-1,0.4,0.62,l2,0.09999999999999999,100,sag,0.005,atr,240,4,True
0.87,0.65,0.74,0.81,0.79,77,1.36,-1,0.4,0.51,l2,0.046415888336127774,130,liblinear,0.05,no_of_trades,240,4,True
0.79,0.71,0.75,0.81,0.81,78,1.33,-1,0.4,0.99,l2,2.154434690031882,80,liblinear,0.1,vwap,240,4,True
0.83,0.68,0.75,0.81,0.8,79,1.28,-1,0.4,0.73,l2,2.154434690031882,50,liblinear,0.005,low,240,4,True
0.86,0.57,0.68,0.81,0.78,80,1.61,-1,0.34,0.51,l2,0.09999999999999999,80,liblinear,0.005,wilder_rsi,240,4,True
0.86,0.61,0.71,0.81,0.79,81,1.29,-1,0.37,0.53,l2,0.4641588833612777,40,liblinear,0.1,imbalance,240,4,True
0.82,0.48,0.6,0.8,0.79,82,1.25,-1,0.28,0.76,l2,0.046415888336127774,100,sag,0.1,atr,240,4,True
0.92,0.47,0.62,0.79,0.72,83,8.05,-1,0.32,0.38,l2,0.4641588833612777,40,sag,0.005,atr,240,4,True
0.68,0.68,0.68,0.78,0.82,84,0.67,-1,0.35,0.98,l2,0.046415888336127774,80,lbfgs,0.05,close,240,4,True
0.9,0.6,0.72,0.8,0.77,85,0.93,-1,0.39,0.37,l2,0.021544346900318832,90,lbfgs,0.005,wilder_rsi,240,4,True
0.8,0.47,0.59,0.8,0.81,86,1.27,-1,0.26,0.57,l2,0.09999999999999999,140,liblinear,0.05,close,240,4,True
0.73,0.58,0.65,0.79,0.82,87,1.22,-1,0.3,0.97,l2,0.021544346900318832,50,liblinear,0.1,low,240,4,True
0.75,0.58,0.66,0.8,0.82,88,1.5,-1,0.31,0.86,l2,0.046415888336127774,130,liblinear,0.01,no_of_trades,240,4,True
0.85,0.54,0.66,0.81,0.79,89,4.73,-1,0.32,0.53,l2,0.046415888336127774,140,sag,0.01,high,240,4,True
0.82,0.69,0.75,0.81,0.81,90,1.1,-1,0.4,0.78,l2,1.0,140,sag,0.1,PPO,240,4,True
0.83,0.57,0.67,0.8,0.79,91,1.02,-1,0.33,0.85,l2,0.4641588833612777,130,lbfgs,0.005,atr,240,4,True
0.82,0.69,0.75,0.81,0.81,92,1.12,-1,0.4,0.77,l2,0.09999999999999999,90,lbfgs,0.005,close,240,4,True
0.78,0.47,0.59,0.81,0.82,93,0.96,-1,0.25,0.61,l2,10.0,50,sag,0.1,high,240,4,True
0.77,0.64,0.7,0.8,0.81,94,11.55,-1,0.35,0.98,l2,0.046415888336127774,130,sag,0.005,low,240,4,True
0.81,0.55,0.65,0.8,0.8,95,0.92,-1,0.31,0.64,l2,0.021544346900318832,80,lbfgs,0.005,no_of_trades,240,4,True
0.81,0.62,0.7,0.81,0.81,96,0.92,-1,0.35,0.78,l2,2.154434690031882,40,sag,0.1,high,240,4,True
0.71,0.51,0.59,0.79,0.84,97,1.32,-1,0.25,0.92,l2,10.0,80,sag,0.05,imbalance,240,4,True
0.86,0.53,0.65,0.8,0.78,98,15.18,-1,0.32,0.69,l2,0.21544346900318834,90,sag,0.01,atr,240,4,True
0.91,0.47,0.62,0.79,0.73,99,1.47,-1,0.32,0.41,l2,0.021544346900318832,80,liblinear,0.005,atr,240,4,True
0.86,0.59,0.7,0.81,0.79,100,10.95,-1,0.36,0.53,l2,0.046415888336127774,80,sag,0.005,imbalance,240,4,True
0.92,0.39,0.55,0.78,0.7,101,0.55,-1,0.28,0.55,l2,4.641588833612777,80,lbfgs,0.1,close,240,4,True
0.74,0.62,0.67,0.79,0.82,102,0.65,-1,0.33,0.87,l2,0.021544346900318832,100,lbfgs,0.05,PPO,240,4,True
0.9,0.48,0.63,0.8,0.75,103,10.01,-1,0.31,0.31,l2,1.0,50,sag,0.005,wilder_rsi,240,4,True
0.92,0.6,0.72,0.79,0.75,104,18.46,-1,0.4,0.31,l2,1.0,110,sag,0.01,vwap,240,4,True
0.86,0.46,0.6,0.81,0.78,105,0.82,-1,0.28,0.45,l2,0.4641588833612777,40,lbfgs,0.01,PPO,240,4,True
0.78,0.59,0.67,0.8,0.81,106,10.43,-1,0.32,0.83,l2,0.09999999999999999,50,sag,0.01,wilder_rsi,240,4,True
0.86,0.61,0.72,0.81,0.79,107,6.14,-1,0.37,0.54,l2,0.046415888336127774,30,sag,0.005,low,240,4,True
0.7,0.52,0.6,0.79,0.84,108,13.07,-1,0.25,0.95,l2,0.09999999999999999,110,sag,0.01,maker_ratio,240,4,True
0.83,0.47,0.6,0.8,0.78,109,1.33,-1,0.28,0.73,l2,0.21544346900318834,120,liblinear,0.1,atr,240,4,True
0.86,0.45,0.59,0.81,0.78,110,1.55,-1,0.27,0.39,l2,0.01,120,sag,0.1,no_of_trades,240,4,True
0.78,0.68,0.73,0.81,0.81,111,1.39,-1,0.38,0.97,l2,0.21544346900318834,60,liblinear,0.1,high,240,4,True
0.8,0.51,0.62,0.81,0.81,112,1.13,-1,0.28,0.58,l2,0.046415888336127774,130,sag,0.05,volume,240,4,True
0.9,0.54,0.68,0.79,0.75,113,0.68,-1,0.36,0.39,l2,0.021544346900318832,50,lbfgs,0.05,no_of_trades,240,4,True
0.85,0.64,0.73,0.81,0.8,114,1.12,-1,0.38,0.66,l2,0.4641588833612777,40,sag,0.1,high,240,4,True
0.75,0.57,0.65,0.79,0.82,115,0.99,-1,0.3,0.86,l2,0.09999999999999999,110,lbfgs,0.01,vwap,240,4,True
0.86,0.5,0.63,0.81,0.78,116,26.81,-1,0.3,0.47,l2,0.4641588833612777,140,sag,0.005,high,240,4,True
0.89,0.54,0.67,0.81,0.77,117,1.59,-1,0.34,0.39,l2,10.0,100,sag,0.05,maker_ratio,240,4,True
0.91,0.55,0.69,0.8,0.75,118,1.27,-1,0.36,0.33,l2,0.021544346900318832,30,liblinear,0.005,vwap,240,4,True
0.95,0.31,0.47,0.77,0.65,119,0.55,-1,0.25,0.52,l2,0.01,30,lbfgs,0.1,imbalance,240,4,True
0.81,0.65,0.72,0.81,0.81,120,1.57,-1,0.37,0.79,l2,0.4641588833612777,50,liblinear,0.01,maker_ratio,240,4,True
0.79,0.58,0.67,0.8,0.81,121,1.61,-1,0.32,0.81,l2,0.01,80,liblinear,0.005,close,240,4,True
0.85,0.4,0.54,0.8,0.77,122,0.75,-1,0.25,0.54,l2,0.4641588833612777,100,sag,0.1,atr,240,4,True
0.8,0.64,0.71,0.81,0.81,123,7.6,-1,0.36,0.85,l2,0.046415888336127774,110,sag,0.01,vwap,240,4,True
0.89,0.55,0.68,0.8,0.77,124,1.35,-1,0.35,0.38,l2,0.021544346900318832,100,lbfgs,0.01,high,240,4,True
0.83,0.67,0.74,0.8,0.8,125,0.68,-1,0.4,0.66,l2,0.4641588833612777,30,lbfgs,0.05,wilder_rsi,240,4,True
0.79,0.6,0.68,0.8,0.81,126,1.27,-1,0.33,0.8,l2,0.046415888336127774,120,liblinear,0.05,low,240,4,True
0.76,0.51,0.61,0.8,0.82,127,1.29,-1,0.27,0.75,l2,0.046415888336127774,80,sag,0.05,vwap,240,4,True
0.87,0.52,0.66,0.81,0.78,128,16.85,-1,0.32,0.44,l2,2.154434690031882,100,sag,0.01,low,240,4,True
0.9,0.6,0.72,0.8,0.77,129,1.51,-1,0.39,0.37,l2,0.21544346900318834,70,liblinear,0.01,low,240,4,True
0.84,0.44,0.58,0.81,0.79,130,2.05,-1,0.26,0.44,l2,10.0,30,sag,0.05,vwap,240,4,True
0.86,0.62,0.72,0.81,0.79,131,1.71,-1,0.38,0.7,l2,1.0,70,liblinear,0.005,atr,240,4,True
0.85,0.56,0.68,0.8,0.78,132,1.87,-1,0.34,0.73,l2,0.021544346900318832,80,sag,0.05,atr,240,4,True
0.91,0.39,0.55,0.79,0.72,133,0.77,-1,0.27,0.34,l2,4.641588833612777,80,lbfgs,0.1,PPO,240,4,True
0.79,0.68,0.73,0.81,0.81,134,6.13,-1,0.38,0.96,l2,0.021544346900318832,140,sag,0.005,high,240,4,True
0.88,0.6,0.71,0.81,0.78,135,0.77,-1,0.37,0.47,l2,0.09999999999999999,70,lbfgs,0.01,low,240,4,True
0.88,0.6,0.71,0.81,0.78,136,1.05,-1,0.37,0.48,l2,0.021544346900318832,60,liblinear,0.05,low,240,4,True
0.88,0.49,0.63,0.81,0.76,137,1.11,-1,0.31,0.37,l2,0.4641588833612777,70,liblinear,0.1,high,240,4,True
0.87,0.48,0.62,0.81,0.77,138,1.01,-1,0.29,0.39,l2,0.4641588833612777,140,sag,0.05,no_of_trades,240,4,True
0.84,0.53,0.65,0.81,0.79,139,1.39,-1,0.31,0.53,l2,0.4641588833612777,90,liblinear,0.01,volume,240,4,True
0.77,0.64,0.7,0.8,0.81,140,6.15,-1,0.35,0.94,l2,0.021544346900318832,120,sag,0.005,volume,240,4,True
0.8,0.54,0.64,0.81,0.81,141,0.75,-1,0.3,0.65,l2,0.01,40,lbfgs,0.005,low,240,4,True
0.88,0.4,0.55,0.81,0.77,142,2.21,-1,0.25,0.31,l2,0.09999999999999999,140,sag,0.005,close,240,4,True
0.73,0.57,0.64,0.79,0.83,143,1.16,-1,0.29,0.94,l2,0.4641588833612777,140,liblinear,0.1,maker_ratio,240,4,True
0.88,0.49,0.63,0.8,0.76,144,1.03,-1,0.31,0.55,l2,0.046415888336127774,140,liblinear,0.1,atr,240,4,True
0.74,0.7,0.72,0.79,0.81,145,0.67,-1,0.38,0.92,l2,1.0,60,lbfgs,0.05,volume,240,4,True
0.81,0.58,0.68,0.81,0.8,146,0.86,-1,0.33,0.69,l2,4.641588833612777,50,lbfgs,0.01,close,240,4,True
0.79,0.68,0.73,0.81,0.81,147,19.12,-1,0.38,0.98,l2,2.154434690031882,100,sag,0.005,imbalance,240,4,True
0.8,0.69,0.74,0.81,0.81,148,1.27,-1,0.39,0.93,l2,4.641588833612777,30,sag,0.05,volume,240,4,True
0.9,0.5,0.64,0.8,0.76,149,1.33,-1,0.32,0.34,l2,0.01,40,liblinear,0.05,wilder_rsi,240,4,True
0.82,0.58,0.68,0.8,0.79,150,0.47,-1,0.34,0.97,l2,10.0,130,lbfgs,0.1,close,240,4,True
0.81,0.67,0.73,0.81,0.81,151,1.03,-1,0.38,0.8,l2,0.046415888336127774,70,lbfgs,0.01,no_of_trades,240,4,True
0.79,0.51,0.62,0.8,0.81,152,0.84,-1,0.28,0.63,l2,10.0,130,lbfgs,0.005,imbalance,240,4,True
0.87,0.55,0.67,0.8,0.76,153,0.55,-1,0.35,0.87,l2,0.01,80,lbfgs,0.1,volume,240,4,True
0.89,0.42,0.58,0.81,0.76,154,9.39,-1,0.27,0.3,l2,2.154434690031882,50,sag,0.01,vwap,240,4,True
0.86,0.57,0.68,0.81,0.79,155,1.57,-1,0.34,0.51,l2,4.641588833612777,100,liblinear,0.005,PPO,240,4,True
0.81,0.65,0.72,0.81,0.81,156,3.66,-1,0.37,0.81,l2,0.01,100,sag,0.005,high,240,4,True
0.8,0.52,0.63,0.8,0.81,157,1.39,-1,0.29,0.65,l2,0.09999999999999999,80,liblinear,0.05,volume,240,4,True
0.94,0.42,0.58,0.76,0.67,158,0.58,-1,0.32,0.52,l2,4.641588833612777,90,lbfgs,0.1,maker_ratio,240,4,True
0.75,0.59,0.66,0.8,0.82,159,1.21,-1,0.31,0.92,l2,10.0,100,liblinear,0.1,maker_ratio,240,4,True
0.91,0.51,0.65,0.8,0.75,160,1.27,-1,0.33,0.32,l2,1.0,120,liblinear,0.05,close,240,4,True
0.85,0.47,0.6,0.81,0.78,161,0.79,-1,0.28,0.97,l2,2.154434690031882,30,lbfgs,0.1,wilder_rsi,240,4,True
0.72,0.58,0.64,0.79,0.82,162,0.78,-1,0.3,0.98,l2,0.4641588833612777,70,lbfgs,0.01,imbalance,240,4,True
0.81,0.68,0.74,0.81,0.81,163,1.33,-1,0.39,0.86,l2,10.0,70,liblinear,0.005,maker_ratio,240,4,True
0.88,0.52,0.65,0.81,0.77,164,1.09,-1,0.32,0.41,l2,0.01,60,liblinear,0.1,volume,240,4,True
0.85,0.57,0.68,0.81,0.79,165,11.34,-1,0.34,0.52,l2,1.0,60,sag,0.01,PPO,240,4,True
0.78,0.48,0.6,0.8,0.82,166,1.33,-1,0.26,0.62,l2,2.154434690031882,70,liblinear,0.05,vwap,240,4,True
0.87,0.65,0.74,0.81,0.79,167,16.85,-1,0.4,0.55,l2,0.4641588833612777,90,sag,0.01,vwap,240,4,True
0.85,0.4,0.54,0.8,0.77,168,1.25,-1,0.25,0.57,l2,4.641588833612777,40,liblinear,0.1,atr,240,4,True
0.83,0.63,0.72,0.81,0.8,169,8.87,-1,0.37,0.91,l2,0.046415888336127774,110,sag,0.01,atr,240,4,True
0.85,0.47,0.61,0.81,0.79,170,17.05,-1,0.28,0.44,l2,1.0,100,sag,0.01,volume,240,4,True
0.84,0.51,0.64,0.81,0.79,171,1.41,-1,0.3,0.49,l2,10.0,40,lbfgs,0.005,wilder_rsi,240,4,True
0.76,0.58,0.66,0.8,0.82,172,1.29,-1,0.31,0.88,l2,0.01,120,liblinear,0.01,high,240,4,True
0.77,0.64,0.7,0.8,0.81,173,1.41,-1,0.35,0.97,l2,10.0,130,liblinear,0.01,wilder_rsi,240,4,True
0.78,0.64,0.7,0.8,0.81,174,1.46,-1,0.35,0.92,l2,0.021544346900318832,70,liblinear,0.01,wilder_rsi,240,4,True
0.7,0.53,0.61,0.79,0.84,175,4.1,-1,0.26,0.98,l2,0.01,100,sag,0.005,maker_ratio,240,4,True
0.87,0.57,0.69,0.81,0.78,176,1.17,-1,0.35,0.48,l2,1.0,100,liblinear,0.005,maker_ratio,240,4,True
0.75,0.58,0.66,0.8,0.82,177,1.55,-1,0.31,0.9,l2,2.154434690031882,90,liblinear,0.01,volume,240,4,True
0.76,0.58,0.66,0.8,0.82,178,0.88,-1,0.31,0.89,l2,10.0,70,lbfgs,0.005,wilder_rsi,240,4,True
0.77,0.66,0.71,0.8,0.81,179,0.48,-1,0.37,0.76,l2,0.01,80,lbfgs,0.05,low,240,4,True
0.9,0.51,0.65,0.8,0.75,180,1.54,-1,0.33,0.33,l2,0.021544346900318832,50,liblinear,0.005,PPO,240,4,True
0.83,0.58,0.68,0.8,0.79,181,1.35,-1,0.34,0.88,l2,0.09999999999999999,110,liblinear,0.01,atr,240,4,True
0.86,0.43,0.57,0.81,0.78,182,1.57,-1,0.26,0.37,l2,0.09999999999999999,30,liblinear,0.005,volume,240,4,True
0.84,0.66,0.74,0.81,0.8,183,6.94,-1,0.39,0.69,l2,0.046415888336127774,90,sag,0.01,imbalance,240,4,True
0.83,0.59,0.69,0.81,0.8,184,1.54,-1,0.34,0.64,l2,2.154434690031882,70,liblinear,0.1,high,240,4,True
0.82,0.61,0.7,0.81,0.8,185,1.04,-1,0.35,0.65,l2,0.046415888336127774,140,lbfgs,0.01,volume,240,4,True
0.71,0.53,0.61,0.79,0.84,186,0.85,-1,0.26,0.88,l2,0.021544346900318832,60,lbfgs,0.01,wilder_rsi,240,4,True
0.89,0.57,0.7,0.8,0.76,187,0.62,-1,0.37,0.43,l2,4.641588833612777,60,lbfgs,0.05,vwap,240,4,True
0.86,0.48,0.62,0.81,0.78,188,1.32,-1,0.29,0.42,l2,0.046415888336127774,50,liblinear,0.05,wilder_rsi,240,4,True
0.84,0.59,0.7,0.81,0.79,189,1.95,-1,0.35,0.61,l2,10.0,40,liblinear,0.01,maker_ratio,240,4,True
0.78,0.65,0.71,0.8,0.81,190,2.51,-1,0.36,0.92,l2,0.01,120,sag,0.01,wilder_rsi,240,4,True
0.9,0.61,0.73,0.8,0.77,191,1.5,-1,0.4,0.47,l2,4.641588833612777,120,liblinear,0.01,atr,240,4,True
0.81,0.66,0.73,0.81,0.81,192,1.0,-1,0.38,0.8,l2,0.046415888336127774,30,lbfgs,0.005,imbalance,240,4,True
0.72,0.51,0.6,0.79,0.84,193,13.54,-1,0.25,0.83,l2,0.046415888336127774,80,sag,0.005,PPO,240,4,True
0.75,0.62,0.68,0.8,0.82,194,1.23,-1,0.33,0.99,l2,10.0,130,liblinear,0.1,imbalance,240,4,True
0.79,0.68,0.73,0.8,0.81,195,0.69,-1,0.39,0.78,l2,10.0,140,lbfgs,0.05,maker_ratio,240,4,True
0.79,0.56,0.66,0.8,0.81,196,1.69,-1,0.31,0.68,l2,4.641588833612777,110,sag,0.05,PPO,240,4,True
0.78,0.67,0.72,0.8,0.81,197,1.07,-1,0.37,0.93,l2,0.09999999999999999,80,liblinear,0.05,no_of_trades,240,4,True
0.81,0.45,0.58,0.81,0.81,198,0.74,-1,0.25,0.5,l2,10.0,80,lbfgs,0.01,maker_ratio,240,4,True
0.83,0.5,0.63,0.81,0.79,199,1.6,-1,0.29,0.53,l2,0.01,130,liblinear,0.005,close,240,4,True
0.82,0.65,0.72,0.77,0.76,0,0.59,-1,0.28,0.35,l2,4.641588833612777,130,lbfgs,0.05,no_of_trades,240,3,True
0.94,0.6,0.73,0.71,0.69,1,0.99,-1,0.4,0.89,l2,0.01,140,lbfgs,0.01,imbalance,240,3,True
0.94,0.51,0.66,0.68,0.63,2,1.87,-1,0.29,0.73,l2,0.01,120,sag,0.1,volume,240,3,True
0.97,0.57,0.71,0.68,0.65,3,2.07,-1,0.39,0.38,l2,10.0,80,sag,0.05,low,240,3,True
